date,transaction_number,acquiring_party,acquired_party,acquired_entities,title
2025-12-17,20260313,Platinum Equity Capital Partners International IV (Cayman),"CompoSecure, Inc.","CompoSecure, Inc.","20260313: Platinum Equity Capital Partners International IV (Cayman); CompoSecure, Inc."
2025-12-17,20260321,Hopper TopCo LP,"Hologic, Inc.","Hologic, Inc.","20260321: Hopper TopCo LP; Hologic, Inc."
2025-12-17,20260324,Browning West Cayman Fund LP,"The Cooper Companies, Inc.","The Cooper Companies, Inc.","20260324: Browning West Cayman Fund LP; The Cooper Companies, Inc."
2025-12-17,20260327,"ModivCare Topco, LLC","ModivCare, Inc.","ModivCare, Inc.; ModivCare Solutions, LLC; Socrates Health Holdings, LLC; Victory Health Holdings, LLC; higi SH Holdings, Inc.","20260327: ModivCare Topco, LLC; ModivCare, Inc."
2025-12-02,20260212,"The Resolute Fund VI, L.P.","Javelin Holdco, LLC","Javelin Intermediate, LLC","20260212: The Resolute Fund VI, L.P.; Javelin Holdco, LLC"
2025-12-02,20260213,"Littelfuse, Inc.","Basler Holdings, LLC",Basler Electric Company,"20260213: Littelfuse, Inc.; Basler Holdings, LLC"
2025-12-02,20260214,"Littlejohn Fund VI, L.P.","Pareto Efficient Solutions, LLC","Pareto Efficient Solutions, LLC","20260214: Littlejohn Fund VI, L.P.; Pareto Efficient Solutions, LLC"
2025-12-02,20260200,Vertiv Holdings Co.,"Purge Rite Holdings, LLC","Purge Rite intermediate, LLC","20260200: Vertiv Holdings Co.; Purge Rite Holdings, LLC"
2025-11-21,20251955,"Xplor Technologies, LLC","Clubessential Holdings, LLC","Clubessential Holdings, LLC","20251955: Xplor Technologies, LLC; Clubessential Holdings, LLC"
2025-11-14,20250841,Valvoline Inc.,"Greenbriar Equity Fund V, L.P.","OC IntermediateCo, Inc.","20250841: Valvoline Inc.; Greenbriar Equity Fund V, L.P."
2025-11-12,20251110,SoftBank Corp.,Ampere Computing Holdings LLC,Ampere Computing Holdings LLC,20251110: SoftBank Corp.; Ampere Computing Holdings LLC
2025-10-31,20260047,Pfizer Inc.,"Metsera, Inc.","Metsera, Inc.","20260047: Pfizer Inc.; Metsera, Inc."
2025-10-24,20251149,Alphabet Inc.,"Wiz, Inc.","Wiz, Inc.","20251149: Alphabet Inc.; Wiz, Inc."
2025-09-29,20251891,"BDO USA, P.C.",Horne LLP,Horne LLP,"20251891: BDO USA, P.C.; Horne LLP"
2025-09-29,20251883,MAI Galway Holdings LP,"Evoke Holdings, LLC","Evoke Intermediate, LLC","20251883: MAI Galway Holdings LP; Evoke Holdings, LLC"
2025-09-29,20251873,Robert Bosch GmbH,Gaylon Lawrence Jr.,"US Air Conditioning Distributors, LLC",20251873: Robert Bosch GmbH; Gaylon Lawrence Jr.
2025-09-29,20251881,"MBK Partners Fund VI, L.P.","Makino Milling Machine Co., Ltd.","Makino Milling Machine Co., Ltd.","20251881: MBK Partners Fund VI, L.P.; Makino Milling Machine Co., Ltd."
2025-09-29,20251882,Lennox International Inc.,"Sentinel Capital Partners VII, L.P.","Duro Dyne Buyer, Inc.; Sealed Units Parts Buyer, Inc.","20251882: Lennox International Inc.; Sentinel Capital Partners VII, L.P."
2025-09-29,20251846,"Yucaipa American Alliance (Parallel) Fund II, L.P.",Soho House & Co Inc.,Soho House & Co Inc.,"20251846: Yucaipa American Alliance (Parallel) Fund II, L.P.; Soho House & Co Inc."
2025-09-29,20251850,"Kinderhook Capital Waste CV, L.P.","Kinderhook Capital Fund VI, L.P.","Axis Investor, LLC","20251850: Kinderhook Capital Waste CV, L.P.; Kinderhook Capital Fund VI, L.P."
2025-09-29,20251865,Mike Sarian,Sang Bum (Samuel) Lee,"Alta Hospitals System, LLC; Southern California Healthcare System, Inc.; Alta Los Angeles Hospitals, Inc.",20251865: Mike Sarian; Sang Bum (Samuel) Lee
2025-09-29,20251867,Dairyland Power Cooperative,Mubadala Investment Company PJSC,Elgin Energy Center; Rocky Road Power,20251867: Dairyland Power Cooperative; Mubadala Investment Company PJSC
2025-09-29,20251786,"LS Power Equity Partners Renewable V AIV, L.P.",BP p.l.c,BP Wind Energy North America Inc.,"20251786: LS Power Equity Partners Renewable V AIV, L.P.; BP p.l.c"
2025-09-29,20251845,"Yucaipa American Alliance Fund II, LP",Soho House & Co Inc.,Soho House & Co Inc.,"20251845: Yucaipa American Alliance Fund II, LP; Soho House & Co Inc."
2025-09-26,20250438,Lifespan Corporation,"Brown Physicians, Inc.","Brown Physicians, Inc.","20250438: Lifespan Corporation; Brown Physicians, Inc."
2025-09-24,20251837,"Bain Capital Europe Fund VI, SCSp",Falkenstein Holdco B.V.,Falkenstein Holdco B.V.,"20251837: Bain Capital Europe Fund VI, SCSp; Falkenstein Holdco B.V."
2025-09-24,20251854,"General Atlantic Partners AIV-1 B, L.P.","Bathe in the Sea of Life, Inc.","OSEA International, LLC","20251854: General Atlantic Partners AIV-1 B, L.P.; Bathe in the Sea of Life, Inc."
2025-09-24,20251820,Voltron Aggregator L.P.,"Hellman & Friedman Capital Partners IX, L.P.","Edition Holdings, Inc.","20251820: Voltron Aggregator L.P.; Hellman & Friedman Capital Partners IX, L.P."
2025-09-24,20251830,"Palo Alto Networks, Inc.",CyberArk Software Ltd.,CyberArk Software Ltd.,"20251830: Palo Alto Networks, Inc.; CyberArk Software Ltd."
2025-09-24,20251833,"Prism Group Parent, LP","Catterton Partners EVF VI, L.P.",PatientPoint Health Technologies Holdings II LLC,"20251833: Prism Group Parent, LP; Catterton Partners EVF VI, L.P."
2025-09-24,20251818,AIPCF VIII Indirect Investor AIV LP,International Paper Company,International Paper Cellulose Fibers (Poland) sp. Z.o.o.; International Paper Canada Pulp Holdings ULC; GCF US Holdings LLC; GCF (Asia) Limited,20251818: AIPCF VIII Indirect Investor AIV LP; International Paper Company
2025-09-24,20251819,Bloom Topco SAS,Eiffel 65 SAS,Eiffel 65 SAS,20251819: Bloom Topco SAS; Eiffel 65 SAS
2025-09-24,20251804,"Nautic Partners XI-A, L.P.","HCP Fresh Investors, L.P.","SFE Intermediate HoldCo, LLC","20251804: Nautic Partners XI-A, L.P.; HCP Fresh Investors, L.P."
2025-09-19,20251817,"TA XV-B, L.P.","FinQuery, LLC","FinQuery, LLC","20251817: TA XV-B, L.P.; FinQuery, LLC"
2025-09-19,20251822,MannKind Corporation,scPharmaceuticals Inc.,scPharmaceuticals Inc.,20251822: MannKind Corporation; scPharmaceuticals Inc.
2025-09-19,20251843,"Phreesia, Inc.","Frontier Fund IV, L.P.","AccessOne Parent Holdings, Inc.","20251843: Phreesia, Inc.; Frontier Fund IV, L.P."
2025-09-19,20251862,"Picard Holdco, Inc.","Carlyle Partners VI Cayman, L.P.",Arctera Global I B.V.,"20251862: Picard Holdco, Inc.; Carlyle Partners VI Cayman, L.P."
2025-09-19,20251779,"The Resolute Fund VI, L.P.","Sky Blue Holdings, Inc.",Switchback Medical LLC,"20251779: The Resolute Fund VI, L.P.; Sky Blue Holdings, Inc."
2025-09-19,20251807,"Thomas H. Lee Parallel Fund IX, L.P.",KKR Health Care Strategic Growth Fund L.P.,"Headlands Research, Inc.","20251807: Thomas H. Lee Parallel Fund IX, L.P.; KKR Health Care Strategic Growth Fund L.P."
2025-09-17,20251800,Jeffrey Broin,Green Plains Inc.,Green Plains Obion LLC,20251800: Jeffrey Broin; Green Plains Inc.
2025-09-16,20251855,"Martin Marietta Materials, Inc.","Quikrete Holdings, Inc","Boxley Materials Company; Con-Agg Companies, LLC; Hamm, Inc.","20251855: Martin Marietta Materials, Inc.; Quikrete Holdings, Inc"
2025-09-16,20251856,"Quikrete Holdings, Inc","Martin Marietta Materials, Inc.","Martin Marietta North Texas Cement, LLC; Martin Marietta Texas Ready-Mix, LLC; Martin Marietta Fleet Management, LLC; Martin Marietta Southwest Ready-Mix, Inc.","20251856: Quikrete Holdings, Inc; Martin Marietta Materials, Inc."
2025-09-16,20251766,Eighth Cinven Fund Aggregator SCSp,"Accel-KKR Capital Partners V, LP","Platinum Acquisition Limited; Platinum (US) Acquisition, LLC","20251766: Eighth Cinven Fund Aggregator SCSp; Accel-KKR Capital Partners V, LP"
2025-09-16,20251770,EQT X Agent Side Car (EUR) SCSp,"Warburg Pincus Global Growth, L.P.","Lobos Parent, Inc.","20251770: EQT X Agent Side Car (EUR) SCSp; Warburg Pincus Global Growth, L.P."
2025-09-16,20251775,Accenture plc,Thomas Brett Chisholm and Christine Chisholm,Neuraflash LLC,20251775: Accenture plc; Thomas Brett Chisholm and Christine Chisholm
2025-09-16,20251839,Hubbell Incorporated,"Golden Gate Capital Opportunity Fund, L.P.","Power Rose Acquisition, Inc.","20251839: Hubbell Incorporated; Golden Gate Capital Opportunity Fund, L.P."
2025-09-16,20251749,"CB ML Co-Invest, L.P.","Thoma Bravo Discover Fund, L.P.","MeridianLink, Inc.","20251749: CB ML Co-Invest, L.P.; Thoma Bravo Discover Fund, L.P."
2025-09-16,20251760,Cenovus Energy Inc.,MEG Energy Corp.,MEG Energy Corp.,20251760: Cenovus Energy Inc.; MEG Energy Corp.
2025-09-11,20251792,"BDT Capital Partners Fund 4-X, L.P.","BlackRock Long Term Private Capital, SCSp",Denali Holding LP,"20251792: BDT Capital Partners Fund 4-X, L.P.; BlackRock Long Term Private Capital, SCSp"
2025-09-11,20251793,CP Holdings I LLC,Graypoint LLC,Graypoint LLC; CP-GPT LLC,20251793: CP Holdings I LLC; Graypoint LLC
2025-09-11,20251794,Pentair plc,Madison Industries Holdings LLC,Hydra-Stop LLC,20251794: Pentair plc; Madison Industries Holdings LLC
2025-09-11,20251764,FG Merger II Corp.,BOXABL Inc.,BOXABL Inc.,20251764: FG Merger II Corp.; BOXABL Inc.
2025-09-11,20251773,Sherwood TopCo Limited,Johns Lyng Group Limited,Johns Lyng Group Limited,20251773: Sherwood TopCo Limited; Johns Lyng Group Limited
2025-09-11,20251785,"E3T1, LP","Andy J. Egan Co., Inc.","Andy J. Egan Co., Inc.","20251785: E3T1, LP; Andy J. Egan Co., Inc."
2025-08-19,20251596,Mark R. Walter,"The Los Angeles Lakers, Inc.","The Los Angeles Lakers, Inc.","20251596: Mark R. Walter; The Los Angeles Lakers, Inc."
2025-08-19,20251613,WP EJD Aggregator L.P.,Bain Capital Distressed and Special Situations 2019,"BCC Keystone Aggregator Investments, LLC; Keystone Agency Holdings, LLC",20251613: WP EJD Aggregator L.P.; Bain Capital Distressed and Special Situations 2019
2025-08-13,20251368,AT&T Inc.,"Lumen Technologies, Inc.","TargetCo1, LLC; TargetCo2, LLC; TargetCo3, LLC; TargetCo5, LLC; TargetCo4, LLC","20251368: AT&T Inc.; Lumen Technologies, Inc."
2025-08-07,20251608,"TPG GP Solutions AIV, L.P.","Earnix, Inc.","Earnix, Inc.","20251608: TPG GP Solutions AIV, L.P.; Earnix, Inc."
2025-08-07,20251599,"TPG Atlas Partners, L.P.","AnovoRx Holdings, Inc.","AnovoRx Holdings, Inc.","20251599: TPG Atlas Partners, L.P.; AnovoRx Holdings, Inc."
2025-08-07,20251553,Unilever PLC,"Yeti Acquisition Holdings, L.P.","Yeti Parent Holdings, LLC","20251553: Unilever PLC; Yeti Acquisition Holdings, L.P."
2025-08-07,20251562,PVE Holdings LP,"Pave America Holding, LLC","Pave America Holding, LLC","20251562: PVE Holdings LP; Pave America Holding, LLC"
2025-08-07,20251570,"Bayview MSR Opportunity Offshore, L.P.","McCarthy Capital Mortgage Investors, LLC",Guild Holdings Company,"20251570: Bayview MSR Opportunity Offshore, L.P.; McCarthy Capital Mortgage Investors, LLC"
2025-08-07,20251547,Washington H. Soul Pattinson and Company Limited,Brickworks Limited,Brickworks Limited,20251547: Washington H. Soul Pattinson and Company Limited; Brickworks Limited
2025-08-07,20251550,"Fidelity National Information Services, Inc.","Amount, Inc.","Amount, Inc.","20251550: Fidelity National Information Services, Inc.; Amount, Inc."
2025-08-07,20251551,"Brave Topco Holdings, LP","The Rise Fund II DE AIV I, L.P.","Benson Topco, LLC","20251551: Brave Topco Holdings, LP; The Rise Fund II DE AIV I, L.P."
2025-08-07,20251541,Zydus Family Trust,Agenus Inc.,Agenus Inc.; Agenus West LLC,20251541: Zydus Family Trust; Agenus Inc.
2025-08-07,20251544,"Haveli Cascade Co-Invest, L.P.","Couchbase, Inc.","Couchbase, Inc.","20251544: Haveli Cascade Co-Invest, L.P.; Couchbase, Inc."
2025-08-07,20251545,"BlackRock, Inc.",Missouri Opportunity Irrevocable Trust,"ElmTree Funds, LLC","20251545: BlackRock, Inc.; Missouri Opportunity Irrevocable Trust"
2025-08-07,20251546,TSG9 L.P.,Ben Bennett,PHLUR Parent LLC; PHLUR Intermediate LLC; PHLUR LLC,20251546: TSG9 L.P.; Ben Bennett
2025-08-07,20251530,Vertiv Holdings Co.,"Robert Lowther, Jr. and Carrie L. Lowther","Great Lakes Case & Cabinet Co., LLC; Great Lakes Manufacturing, LLC","20251530: Vertiv Holdings Co.; Robert Lowther, Jr. and Carrie L. Lowther"
2025-08-06,20251523,"Gryphon Digital Mining, Inc.",Hut 8 Corp.,American Bitcoin Corp.,"20251523: Gryphon Digital Mining, Inc.; Hut 8 Corp."
2025-08-06,20251528,Valor Equity Partners VI-B L.P.,Elon Musk,Space Exploration Technologies Corp.,20251528: Valor Equity Partners VI-B L.P.; Elon Musk
2025-08-06,20251513,"White Mountains Insurance Group, Ltd.","AQ Phoenix Parent, L.P.","AQ Phoenix Parent, L.P.","20251513: White Mountains Insurance Group, Ltd.; AQ Phoenix Parent, L.P."
2025-08-06,20251519,SoftBank Corp.,Cybereason Inc.,Cybereason Inc.,20251519: SoftBank Corp.; Cybereason Inc.
2025-08-06,20251492,ORIX Corporation,"Hilco Trading, LLC","Hilco Trading, LLC","20251492: ORIX Corporation; Hilco Trading, LLC"
2025-08-06,20251502,"Cortec Group Fund VIII, L.P.","AMCP III Legacy AIV, LP","MPLT Healthcare Holdings, LP","20251502: Cortec Group Fund VIII, L.P.; AMCP III Legacy AIV, LP"
2025-08-06,20251479,26N Private Equity Partners I LP,"Marlin Equity V, L.P.",A&V Holdings Holdco LLC,"20251479: 26N Private Equity Partners I LP; Marlin Equity V, L.P."
2025-08-06,20251483,"Carronade Capital Master, LP","Telephone and Data Systems, Inc.","Telephone and Data Systems, Inc.","20251483: Carronade Capital Master, LP; Telephone and Data Systems, Inc."
2025-08-04,20251499,Mubadala Investment Company PJSC,Tallwood Technology Partners LLC,"MIPS Holding, Inc.",20251499: Mubadala Investment Company PJSC; Tallwood Technology Partners LLC
2025-08-04,20251501,"Nordic Capital XI Gamma, SCSp","Arcadia Solutions, Inc.","Arcadia Solutions, Inc.","20251501: Nordic Capital XI Gamma, SCSp; Arcadia Solutions, Inc."
2025-08-04,20251473,"Durare Topco, L.P.","Capricorn Holdco, LLC","CAI Software Holdings, LLC","20251473: Durare Topco, L.P.; Capricorn Holdco, LLC"
2025-08-04,20251475,Churchill Sponsor IX LLC,"Plus Automation, Inc.","Plus Automation, Inc.","20251475: Churchill Sponsor IX LLC; Plus Automation, Inc."
2025-08-04,20251489,"Suzhou Dongshan Precision Manufacturing Co., Ltd.",Source Photonics Holdings (Cayman) Limited,Source Photonics Holdings (Cayman) Limited,"20251489: Suzhou Dongshan Precision Manufacturing Co., Ltd.; Source Photonics Holdings (Cayman) Limited"
2025-08-04,20251498,"Emprise Group, Inc.",TCW Rescue Financing Fund LP,"Nice-Pak Products, Inc.","20251498: Emprise Group, Inc.; TCW Rescue Financing Fund LP"
2025-08-04,20251447,Ferdinand Porsche Familien Privatstiftung,"Group14 Technologies, Inc.","Group14 Technologies, Inc.","20251447: Ferdinand Porsche Familien Privatstiftung; Group14 Technologies, Inc."
2025-07-28,20251432,"EOG Resources, Inc.",Canada Pension Plan Investment Board,Encino Acquisition Partners LLC; CPPIB EAP US Inc.,"20251432: EOG Resources, Inc.; Canada Pension Plan Investment Board"
2025-07-28,20251465,Chimera Investment Corporation,Seer Capital Partners Fund L.P.,HX Holdco Corp.; HomeXpress Mortgage Corp.,20251465: Chimera Investment Corporation; Seer Capital Partners Fund L.P.
2025-07-28,20251481,Flowserve Corporation,"Chart Industries, Inc.","Chart Industries, Inc.","20251481: Flowserve Corporation; Chart Industries, Inc."
2025-07-28,20251484,Bridgepoint Europe VII Investments S.a r.l.,Safe Life AB,Safe Life AB,20251484: Bridgepoint Europe VII Investments S.a r.l.; Safe Life AB
2025-07-28,20251496,1544362 B.C. Ltd.,Klick Ventures Inc.,Klick Ventures Inc.,20251496: 1544362 B.C. Ltd.; Klick Ventures Inc.
2025-07-28,20251428,"Gryphon Heritage Partners, L.P.","BCM Fund I, LP","DW Supplements Holdings, Inc.","20251428: Gryphon Heritage Partners, L.P.; BCM Fund I, LP"
2025-07-22,20251468,"RCP Artemis Co-Invest, L.P.","AG Congress Holdings, LP","Congress Parent, Inc.","20251468: RCP Artemis Co-Invest, L.P.; AG Congress Holdings, LP"
2025-07-22,20251471,EQT Infrastructure VI (No.1) EUR SCSp,North Haven Infrastructure Partners III SCSp,Seven Seas Water (Panama) Holdings Limited; Tarpon Water Solutions Ltd.; Water Infrastructure Solutions L.P.,20251471: EQT Infrastructure VI (No.1) EUR SCSp; North Haven Infrastructure Partners III SCSp
2025-07-22,20251472,EQT Infrastructure VI (No.1) EUR SCSp,North Haven Infrastructure Partners III (AIV-B) SCSp,Water Infrastructure Solutions LLC,20251472: EQT Infrastructure VI (No.1) EUR SCSp; North Haven Infrastructure Partners III (AIV-B) SCSp
2025-07-22,20251408,Eli Lilly and Company,"Verve Therapeutics, Inc.","Verve Therapeutics, Inc.","20251408: Eli Lilly and Company; Verve Therapeutics, Inc."
2025-07-22,20251442,"Novant Health, Inc.","TPG Growth V DE AIV II, L.P.","Norfolk Management Services, LLC; TPG Growth V Norfolk BL, LLC","20251442: Novant Health, Inc.; TPG Growth V DE AIV II, L.P."
2025-07-22,20251444,"EPFS Acquisition Holdings, LP","Frazier Healthcare Growth Buyout Fund IX, L.P.","Elevate PFS Newco Parent, Inc.","20251444: EPFS Acquisition Holdings, LP; Frazier Healthcare Growth Buyout Fund IX, L.P."
2025-07-22,20251466,"Samsung Electronics Co., Ltd.",Triton Fund IV L.P.,FlaktGroup Holding GmbH,"20251466: Samsung Electronics Co., Ltd.; Triton Fund IV L.P."
2025-07-22,20251394,Pearson plc,Gauge Capital Parallel II Preferred SPV LP,eDynamic Holdings LP,20251394: Pearson plc; Gauge Capital Parallel II Preferred SPV LP
2025-07-15,20251429,"Griffon Topco, LP","Layerzero Power Systems, Inc.","Layerzero Power Systems, Inc.","20251429: Griffon Topco, LP; Layerzero Power Systems, Inc."
2025-07-15,20251433,KKR Management LLP,Michael Marhofer,ifm group se,20251433: KKR Management LLP; Michael Marhofer
2025-07-15,20251454,HEICO Corporation,Andrew M. Jackson,"Gables Engineering, Inc.",20251454: HEICO Corporation; Andrew M. Jackson
2025-07-15,20251456,Hoshizaki Corporation,"Mason Wells Buyout Fund IV, LP",SC Holding Corp.,"20251456: Hoshizaki Corporation; Mason Wells Buyout Fund IV, LP"
2025-07-15,20251414,Citation Fund I LP,GML Holdings L.L.C.,"Glow Holdings, LLC",20251414: Citation Fund I LP; GML Holdings L.L.C.
2025-06-12,20251249,KKR North America Fund XIV SCSp,CME Group Inc.,Osttra Group Ltd.,20251249: KKR North America Fund XIV SCSp; CME Group Inc.
2025-06-12,20251225,"ISQ Global Infrastructure Fund III, L.P.",Mobico Group PLC,National Express Durham Holding LLC; Stock Transportation Ltd.,"20251225: ISQ Global Infrastructure Fund III, L.P.; Mobico Group PLC"
2025-06-06,20251236,"General Atlantic Partners 100, L.P.","EQH Parent, LLC","EQH Parent, LLC","20251236: General Atlantic Partners 100, L.P.; EQH Parent, LLC"
2025-06-06,20251244,"Church & Dwight Co., Inc.",Andrea Lisbona,Touchland Holding Corp.,"20251244: Church & Dwight Co., Inc.; Andrea Lisbona"
2025-06-06,20251265,Dream Games Dijital Teknolojiler Anonim Sirketi,Dream Games Holdings Ltd,Dream Games Teknoloji Anonim Sirketi,20251265: Dream Games Dijital Teknolojiler Anonim Sirketi; Dream Games Holdings Ltd
2025-06-06,20251202,"WestView Capital Partners V, L.P.",Thierry and Elizabeth Beckers,"PharmaLink, LLC","20251202: WestView Capital Partners V, L.P.; Thierry and Elizabeth Beckers"
2025-06-05,20251274,"Mayville Engineering Company, Inc.","Tide Rock YieldCo, LLC","Accu-Fab Illinois, LLC; Accu-Fab Manufacturing, LLC; Accu-Fab, LLC","20251274: Mayville Engineering Company, Inc.; Tide Rock YieldCo, LLC"
